,sentence,aspect,ground_truth,predict_label,result
0,I liked the aspect_term!,beer selection,positive,positive,True
1,The aspect_term is good.,Thai food,positive,positive,True
2,"The aspect_term is very friendly, if not overly efficient.",wait staff,positive,positive,True
3,The aspect_term was too busy ordering aspect_term for aspect_term and then laying it out to eat on the aspect_term to even bring me my aspect_term.,staff,negative,negative,True
4,The aspect_term was too busy ordering aspect_term for aspect_term and then laying it out to eat on the aspect_term to even bring me my aspect_term.,sushi,neutral,neutral,True
5,The aspect_term was too busy ordering aspect_term for aspect_term and then laying it out to eat on the aspect_term to even bring me my aspect_term.,dinner,neutral,neutral,True
6,The aspect_term was too busy ordering aspect_term for aspect_term and then laying it out to eat on the aspect_term to even bring me my aspect_term.,bar,neutral,neutral,True
7,The aspect_term was too busy ordering aspect_term for aspect_term and then laying it out to eat on the aspect_term to even bring me my aspect_term.,check,neutral,neutral,True
8,"Order the aspect_term, it's fantastic.",panang duck,positive,positive,True
9,"The only possible drawback to this last point is that as of the date of this posting, the additional aspect_term are only written in Chinese.",menu items,negative,neutral,False
10,"I LOVE their spicy aspect_term, and my boyfriend consistently gets the aspect_term.",scallop roll,positive,positive,True
11,"I LOVE their spicy aspect_term, and my boyfriend consistently gets the aspect_term.",sesame chicken,positive,positive,True
12,aspect_term took almost 4 hours without any lag time.,Dinner,negative,negative,True
13,"aspect_term, aspect_term and aspect_term, like the aspect_term, are classic successes.",Sandwiches,positive,positive,True
14,"aspect_term, aspect_term and aspect_term, like the aspect_term, are classic successes.",burgers,positive,positive,True
15,"aspect_term, aspect_term and aspect_term, like the aspect_term, are classic successes.",salads,positive,positive,True
16,"aspect_term, aspect_term and aspect_term, like the aspect_term, are classic successes.",lemon-dressed cobb,positive,positive,True
17,I have to say they have one of the fastest aspect_term in the city.,delivery times,positive,positive,True
18,"The aspect_term is excellent, specjal: that girl behind the aspect_term, european chic.",staff,positive,positive,True
19,"The aspect_term is excellent, specjal: that girl behind the aspect_term, european chic.",bar,neutral,positive,False
20,We were told that the aspect_term was about twenty minutes and there would be no problem for our 8:00 pm curtain call.,wait,neutral,negative,False
21,The aspect_term is excellent and always informative without an air.,service,positive,positive,True
22,it's the only place you can get yummy authentic aspect_term.,japanese comfort food,positive,positive,True
23,Try the aspect_term and the aspect_term.,lobster teriyaki,positive,positive,True
24,Try the aspect_term and the aspect_term.,rose special roll,positive,positive,True
25,He takes real pride in his aspect_term and his business.,food,positive,positive,True
26,The aspect_term is 100% Italian and the aspect_term is as authentic as it gets.,staff,positive,positive,True
27,The aspect_term is 100% Italian and the aspect_term is as authentic as it gets.,food,positive,positive,True
28,Ive been here a bunch of times now and the aspect_term is always outstanding.,service,positive,positive,True
29,Interesting other aspect_term for a change include aspect_term and aspect_term.,dishes,positive,positive,True
30,Interesting other aspect_term for a change include aspect_term and aspect_term.,chicken in curry sauce,positive,neutral,False
31,Interesting other aspect_term for a change include aspect_term and aspect_term.,salmon caserole,positive,neutral,False
32,"Otherwise, this place has great aspect_term and aspect_term and a nice friendly aspect_term.",service,positive,positive,True
33,"Otherwise, this place has great aspect_term and aspect_term and a nice friendly aspect_term.",prices,positive,positive,True
34,"Otherwise, this place has great aspect_term and aspect_term and a nice friendly aspect_term.",atmosphere,positive,positive,True
