,sentence,aspect,ground_truth,predict_label,result
0,"I bought a aspect_term for it, but don't always take it out;",cordless mouse,positive,negative,False
1,-I propose that they can just swap the aspect_term.,hard drives,neutral,neutral,True
2,"The 13"" Macbook Pro just fits in my aspect_term and with free aspect_term and no tax to CA this is the best aspect_term we can get for a great product.",budget,positive,positive,True
3,"The 13"" Macbook Pro just fits in my aspect_term and with free aspect_term and no tax to CA this is the best aspect_term we can get for a great product.",shipping,positive,positive,True
4,"The 13"" Macbook Pro just fits in my aspect_term and with free aspect_term and no tax to CA this is the best aspect_term we can get for a great product.",price,positive,positive,True
5,I can't believe how quiet the aspect_term is and how quick this thing aspect_term.,hard drive,positive,positive,True
6,I can't believe how quiet the aspect_term is and how quick this thing aspect_term.,boots up,positive,positive,True
7,"Well I spilled something on it and they replaced it with this model, which gets hot and the aspect_term doesn't make it through 1 DVD.",battery,negative,negative,True
8,The laptop was very easy to aspect_term.,set up,positive,positive,True
9,"The video card is great for aspect_term, and above average for aspect_term, but not a gamers first choice.",media,positive,positive,True
10,"The video card is great for aspect_term, and above average for aspect_term, but not a gamers first choice.",gaming,positive,positive,True
11,The large aspect_term also helps when you are working in aspect_term like aspect_term.,screen,positive,positive,True
12,The large aspect_term also helps when you are working in aspect_term like aspect_term.,design based programs,neutral,neutral,True
13,The large aspect_term also helps when you are working in aspect_term like aspect_term.,Adobe Creative Suite,neutral,neutral,True
14,"The aspect_term is bright and vivid and the aspect_term is very easy to use, very important for use quick typers.",screen,positive,positive,True
15,"The aspect_term is bright and vivid and the aspect_term is very easy to use, very important for use quick typers.",keyboard,positive,positive,True
16,Or the aspect_term would show up some place else.,cursor,negative,negative,True
17,Everything is so easy and intuitive to aspect_term or aspect_term.,setup,positive,positive,True
18,Everything is so easy and intuitive to aspect_term or aspect_term.,configure,positive,positive,True
19,"The aspect_term I purchased this from sent it back,,,,,eventually I got a new or repaired machine approximately 3 weeks later.",tech store,negative,negative,True
20,"The aspect_term randomly pops open when it is in my backpack as well, which is annoying.",DVD drive,negative,negative,True
21,"The only thing that I have, is the aspect_term is a little dark to see the letters, would help if it was a little lighter then it is.",key broad,negative,negative,True
22,"Also, the aspect_term makes a noisy click every time you use it.",space bar,negative,negative,True
23,I thought the white Mac computers looked dirty too quicly where you use the aspect_term and where you place your hands when typing.,mousepad,neutral,negative,False
24,"However, there are MAJOR issues with the aspect_term which render the device nearly useless.",touchpad,negative,negative,True
25,I had 3 months when the aspect_term started going out.,ports,negative,negative,True
26,No aspect_term in the new version there's no way I'm spending that kind of money on something has less aspect_term than the older version.,Cd Rom,neutral,negative,False
27,No aspect_term in the new version there's no way I'm spending that kind of money on something has less aspect_term than the older version.,features,negative,negative,True
28,"Not only are the versions of these aspect_term able to be saved, worked on and opened on both a PC and Mac, the versions of these aspect_term on a Mac are graphically and functionally superior.",programs,positive,neutral,False
29,"Not only are the versions of these aspect_term able to be saved, worked on and opened on both a PC and Mac, the versions of these aspect_term on a Mac are graphically and functionally superior.",programs,positive,positive,True
30,I wanted something that had a new aspect_term and aspect_term so that we could hook it up directly to our TV.,Intel Core processors,neutral,neutral,True
31,I wanted something that had a new aspect_term and aspect_term so that we could hook it up directly to our TV.,HDMI port,neutral,neutral,True
32,Once you get past learning how to use the poorly designed aspect_term you may feel frustrated.,Windows 8 Set-Up,negative,negative,True
33,"As a die-hard aspect_term enthusiast, I shunned the idea of a Mac until this point.",Windows,positive,negative,False
34,The people there just changed for me on the spot and I got a new aspect_term and they didn't even request for a receipt.,arm piece,positive,neutral,False
35,"Would like more trendy, high tech aspect_term.",features,negative,positive,False
36,"I like aspect_term, the apparent aspect_term, the aspect_term, all the nice aspect_term.",iTunes,positive,neutral,False
37,"I like aspect_term, the apparent aspect_term, the aspect_term, all the nice aspect_term.",security,positive,neutral,False
38,"I like aspect_term, the apparent aspect_term, the aspect_term, all the nice aspect_term.",Mini form factor,positive,neutral,False
39,"I like aspect_term, the apparent aspect_term, the aspect_term, all the nice aspect_term.",graphics stuff,positive,positive,True
40,aspect_term very smoothly.,Runs,positive,positive,True
41,"My opinion of Sony has been dropping as fast as the stock market, given their horrible aspect_term, but this machine just caused another plunge.",support,negative,negative,True
42,They need to stop outsoucing and send some complaint calls to US based aspect_term for those who live in the United states.,customer service agents,negative,negative,True
43,"aspect_term is great, very quiet for all the typing that I do.",Keyboard,positive,positive,True
44,"There is no need to purchase aspect_term, which saves me a lot of time and money.",virus protection for Mac,positive,negative,False
45,MY aspect_term IS NOT WORKING.,TRACKPAD,negative,negative,True
46,It took aspect_term 4 calls and 4 different aspect_term to correct the problem.,Toshiba tech support,negative,neutral,False
47,It took aspect_term 4 calls and 4 different aspect_term to correct the problem.,techs,negative,neutral,False
48,the aspect_term is really low to low for a laptopwas not expectin t aspect_term to be so lowan i hate that about this computer,volume,negative,negative,True
49,the aspect_term is really low to low for a laptopwas not expectin t aspect_term to be so lowan i hate that about this computer,volume,negative,negative,True
