,sentence,aspect,ground_truth,predict_label,result
0,I love how niggas rally behind aspect_term but wo n't dare go to a Bobby Brown show,charlie sheen,positive,negative,False
1,"Did anyone get through to the aspect_term Internship Round 3 ? TigerBloodIntern I did , need to do my video submission .",charlie sheen,neutral,positive,False
2,Awaken your inner aspect_term . The wizardly wonderful Magic Wand has just arrived at firebox :,harry potter,neutral,positive,False
3,aspect_term ' s debut in paris as the artistic advisor 4 the emanuel ungaro fashion house was slammed by critics 4 which fashion disaster ?,lindsay lohan,neutral,neutral,True
4,"Hmm , so they sent Joe to camp to keep him from clearing up Team aspect_term 's Libya mission problem : -LRB- continued -RRB- .",obama,negative,neutral,False
5,"hey amazon , i love you and all but shipping a aspect_term to euroland and not adding a power adapter is lame . thing costs like what ? $ 0.50 ?",kindle,neutral,neutral,True
6,"This reminds me when aspect_term would n't publicly acknowledge that mac existed . It worked out REAL well then , too ...",bill gates,neutral,neutral,True
7,"i love michael jackson because he 's a legend , aspect_term because he 's inspirational , and my mom because she'a a celeb to me .",barack obama,positive,neutral,False
8,"okay to be honest i have n't heard the aspect_term song , but i 'm almost positive this is better",britney spears,neutral,positive,False
9,"Santa Barbara , whale watching , Disneyland , possibly a aspect_term game . Yep , Oct/Nov in CA are awesome .",lakers,neutral,positive,False
10,"aspect_term and Nick Cannon are right . Younger pussy is as overrated as they are . I kid , I kid ... oh I hope we can be friends someday .",ashton kutcher,neutral,negative,False
11,it 's okay . i still love you ... confession i have aspect_term ' s album & paris hilton 's -LRB- a few songs anyway -RRB- on my pod,lindsay lohan,positive,positive,True
12,Probably going to go play the lottery tomorrow so I can have enough money to have aspect_term tweet me & I ignore . payback ! hahaha jk jk,oprah,negative,negative,True
13,$ 2 for sony aspect_term star wars edition !! with 15 umds 3 games lot 2 | 4 sold ! : see 17 more pictures here,psp,neutral,neutral,True
14,It 's so weird how Selena ca n't say : '' IM DATING aspect_term '' she makes it all complicated ... Ugh .,justin bieber,positive,negative,False
15,Yo Anthony saw you on aspect_term have always thought you were great huge fan hope this helps you win brother,jimmy fallon,neutral,positive,False
16,"justin , lenka , aspect_term , katy perry come here in indonesia ! perform in here ! ngarepbanget , hollywoodlovers",lady gaga,neutral,neutral,True
17,'' There 's one reason the Clinton healthcare bill failed and it is n't Betsy McCaughey . It 's aspect_term . '' - dailydish,hillary clinton,neutral,neutral,True
18,Finished reading all aspect_term books ! They were even more awesome then the movies ! : D,harry potter,positive,positive,True
19,kchurch03 lol I hate aspect_term . Are you going out tonight ?,harry potter,negative,negative,True
20,listening to Firework by aspect_term on Grooveshark : nowplaying FB .,katy perry,neutral,neutral,True
21,aspect_term looks interesting for educational uses !,google wave,positive,positive,True
22,"aspect_term will review position after Uruguay match : Diego aspect_term , unhappy with aspects of his job as Argentina . .",maradona,neutral,neutral,True
23,"t r you t h o you t | An Open Letter to President aspect_term : Dear President Obama : Afghanistan is the good war , . .",barack obama,neutral,neutral,True
24,"I really like aspect_term , his foundation has done a lot for the world , and it is even doing great things for America",bill gates,positive,positive,True
25,i love body language ! heidi sounds like the next aspect_term ! yall should really do a song together .,britney spears,neutral,positive,False
26,Omg . Just saw aspect_term and the deathly hallows . That was so great . And to think the 2nd one will be even better . yes !,harry potter,positive,positive,True
27,check out ' asus k50ij-x8 15.6 - inch black versatile entertainment laptop -LRB- aspect_term home premium -RRB- ' by asus,windows 7,positive,neutral,False
28,if you ca n't get an aspect_term try the next best thing and go htc hero or motorola droid :-RRB- hmm do n't know about the pre : s,iphone,positive,neutral,False
29,musicmonday ca n't make you love me - aspect_term mm,britney spears,neutral,neutral,True
30,trscoop I search for Snidely Whiplash and get that . Whatever new algorithm aspect_term is using certainly turns up weird results .,google,negative,negative,True
31,virile heavenly host aspect_term,nicolas cage,neutral,positive,False
32,i just finished playing forza motorsport ® 3 with my girlfriend ... she is a better driver than me :-RRB- forzamotorsport3 aspect_term,xbox,neutral,neutral,True
33,"click4 pictures & clips ! aspect_term sucks at fashion , employment : bad business decisions are . .",lindsay lohan,negative,negative,True
34,aspect_term whines like a baby if a camera clicks so he can hit a ball sitting on a tee . A-Rod has 70k people screaming and jacks a 2R homer,tiger woods,neutral,neutral,True
35,"now that no longer feel like taking a hammer to my aspect_term , on with dragon age ! thanks , everyone .",xbox,neutral,neutral,True
36,beautiful day here in fwb ! on the couch watching the magic game ! go magic ! and just remembered my parents have a aspect_term -- im very excited : -RRB-,wii,neutral,positive,False
37,aspect_term has brought back the female rapper . - really ? aspect_term is the biggest parody in popular music since the Lonely Island .,nicki minaj,negative,positive,False
38,"babe , its just the way of the world ! i do n't think they can sing that well but neither can aspect_term .",britney spears,negative,neutral,False
39,"Watching Love and Hip Hop and am stunned to hear about aspect_term ... no respect . Apparently , she has forgotten about KARMA .",alicia keys,negative,neutral,False
40,is watching aspect_term . I love that the television knows what I want . :-RRB- ...,harry potter,neutral,positive,False
41,aspect_term Songwriter Defends Pop Star For Not Demanding Co-Writing Credit : Songwriter H ... . www.openallnite.com,britney spears,neutral,neutral,True
42,A picture of aspect_term just came about the screen and I practically damn near fell off my bed damn she is too fucking ugly,khloe kardashian,negative,negative,True
43,amelia and then new moon ! fall has so many great movies in store rt i want this wardrobe : aspect_term in amelia,hilary swank,neutral,neutral,True
44,"oh , shucks ! i 've got a stupid air bubble behind my aspect_term screen .",ipod,neutral,neutral,True
45,"got 3 new music cds : matchbox twenty more than you think you are , aspect_term blackout , and last but not least u2 no line on the horizon !",britney spears,neutral,neutral,True
46,got aspect_term . it 's nice . way better than vista,windows 7,positive,positive,True
47,aspect_term is leaving the acting career to take up fashion !! no !! i love her movies !! herbie was so cool !!,lindsay lohan,positive,positive,True
48,I ate her cooch she sucked my meat ... the aspect_term beat the heat . ! IceCubeVoice,lakers,neutral,negative,False
49,the singles collection : edition details - aspect_term : learn all about the track listings and bonus features . .,britney spears,neutral,neutral,True
50,put mahou shoujo lyrical nanoha on whatever aspect_term ... i can watch this later ... but not now . .,psp,neutral,neutral,True
51,i love aspect_term whatcha gon na do now dominick,britney spears,positive,positive,True
52,Rebecca Black we do n't hate you because your famous ... your famous because we hate you ~ aspect_term,charlie sheen,negative,negative,True
53,ain nobody think about no damn aspect_term lol least i ain stunt that ass,kim kardashian,negative,negative,True
54,just got done playing ' some house of the dead 2 . which actually is the only reason i bought the aspect_term .,wii,neutral,neutral,True
55,RT aaranged : Great reference > aspect_term Search URL Parameters -- Query String Anatomy . seosmarty,google,neutral,neutral,True
56,ashleeee99 aspect_term sucks . So do these sam adams . I like the pbr better,harry potter,negative,negative,True
57,youhaveanicebodybut you look like a crack whore like aspect_term . . you seem like you just got out of rehab,lindsay lohan,negative,negative,True
58,"We are taught to understand , correctly , that courage is not the absence of fear , but the capacity for action despite our fears . aspect_term",john mccain,neutral,neutral,True
59,aspect_term Death Threat : Irish Muslim Convert Arrested Ahead Of Obama Visit - Sky News .,barack obama,neutral,neutral,True
60,"N . oh . with are you saying aspect_term '' deserved '' it ? We already know your a group of irrelevant , bitter , hypocritical liars , why keep proving it ?",sarah palin,negative,neutral,False
61,i ´ m very good listening musik of aspect_term,britney spears,positive,positive,True
62,slap the taste out aspect_term ' s mouth . realbucketlist,sarah palin,negative,negative,True
63,real estate news | aspect_term ' s ' treasure ' buried in debt : `` levin . .,nicolas cage,neutral,neutral,True
64,two people liking aspect_term does not mean they are soul mates .,nicolas cage,neutral,negative,False
65,Lol right here RT BigJamaal : aspect_term Where y' all at ?,lakers,negative,negative,True
66,"Tic Tac , Tic Tac , Tic Tac , Tic Tac , TicI Tac , Tic Tac GET STUPID DO N'T STOP IT , I love aspect_term",madonna,positive,neutral,False
67,"my msn is vlg.cat hotmail.com connect with me , you like aspect_term o crepusculo o another thinks ! =-RRB- XOXO",harry potter,neutral,neutral,True
68,"A win for Ecuador and a defeat for Argentina on Wednesday , and aspect_term ' is team will not be going to the world cup next summer .",maradona,neutral,neutral,True
69,new webblog post : did microsoft steal gpl code for a aspect_term utility ? = 264,windows 7,neutral,neutral,True
70,is amazing you wanted it has been on repeat on my aspect_term for 9 days straight ! go listen to her ! : -RRB-,ipod,neutral,positive,False
71,People who go to see aspect_term and are disappointed and upset ... your dumb enough to go attend his lame show so its your own fault !,charlie sheen,negative,negative,True
72,aspect_term looks like she is 59 years old and has been rode hard and put away wet . meth face much ?,lindsay lohan,negative,negative,True
73,Hello people love you aspect_term xx,justin bieber,positive,positive,True
74,what passes for sane on a crazy day -LRB- aspect_term edition -RRB- newly tagged '' entertainment '' : what passes for sane on a cr . .,kindle,neutral,neutral,True
75,spotligh was aspect_term ' s ungaro collection really as bad as everyone said - josh ... - slate : was l . .,lindsay lohan,negative,neutral,False
76,"has cleaned his aspect_term and its all free of smudges and greece , when did you last give yours a good clean ?",iphone,neutral,neutral,True
77,aspect_term president ! Jay moved to Antarctica ! She is a homophobic bitch ! She lies each time she avoids a real question !,sarah palin,negative,negative,True
78,is it wrong that she has christmas songs on her aspect_term already ?,ipod,neutral,neutral,True
79,"aspect_term stars in amelia , a vast , thrilling account of legendary aviation pioneer amelia earhart",hilary swank,neutral,neutral,True
80,"I am a aspect_term Nerd ... I admit it ... Otherwise , you wo n't have all the books in English , Swedish , and 5 in German !! ; -RRB-",harry potter,neutral,neutral,True
81,"Looks like aspect_term is in town , hope he does n't dump his shit in the Chicago river again ... It 's already nasty enough .",dave matthews,negative,negative,True
